algorithm,runtime_sec,cpu_avg,cpu_peak,mem_peak,disk_read_MB,disk_write_MB
BFS,2.765655517578125e-05,0.0,0.0,1.901085042889785,0.0,0.0
DFS,1.621246337890625e-05,0.0,0.0,1.901085042889785,0.0,0.0
BFS,2.1696090698242188e-05,0.0,0.0,1.9014845983842974,0.0,0.0
DFS,3.0279159545898438e-05,6.18,30.9,1.9014845983842974,0.0,0.0
PRIM MST,4.935264587402344e-05,6.220000000000001,31.1,1.9014845983842974,0.0,0.0
KRUSKAL MST,0.00014543533325195312,0.0,0.0,1.9014845983842974,0.0,0.0
BELLMAN-FORD,9.417533874511719e-05,0.0,0.0,1.9014845983842974,0.0,0.0
